category_id,category_key,entity,expense_type,category_label,is_uncategorised,transaction_rows,transaction_value
55,0ac0ba70ee4afb0c5b5b5c50599d88cc7418938c4cf27a5cd2e2b4528ab709e4,Manchester City Council,Househld Ins Premium,Manchester City Council — Househld Ins Premium,false,1,933.22
208,216460de9a92ff030a5b491310b36e449ac17347c61c62b229a5ac021bd73308,City of York Council,Professional Fees,City of York Council — Professional Fees,false,4695,15635838.17
233,26cb906a4264dc22b1fd8e0a3fc6b91c8c9cf13a9de0a3204e94782af6bed572,Ministry of Justice,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - Maintenance - non-mobile,Ministry of Justice — EXP - PURCHASE OF GOODS/SERVICES - TELECOMS - Maintenance - non-mobile,false,15,986901.06
242,285b5917f8532fdcde35ce9aad7454e0311fce288592b08e4aa77997880b5ae5,Manchester City Council,Residential Care Homes Payments,Manchester City Council — Residential Care Homes Payments,false,6087,72934119.43
257,2aa25f576fe7e5b89555045414e038b7529bcb139ac504e13d09d271d0536ece,Department for Transport,Mail Collection/Delivery Costs,Department for Transport — Mail Collection/Delivery Costs,false,24,5078947.23
259,2ae257b577ff89ded7cc05ca9090da1d93e165be7bbc3d1734f9d3ac99567736,Department for Transport,Navigational Warnings,Department for Transport — Navigational Warnings,false,1,64000
267,2bbdc2b5d792ff5ef15a033a34bf64353601a393b60b97c67110785e0b233107,HM Revenue and Customs,Camera lenses,HM Revenue and Customs — Camera lenses,false,1,16233.92
434,454b29f736dac9e5e83a41e075db2010e55f4d4eb6bdcf7431a1e6ba6636e595,Department for Transport,IT EQUIPMENT CAPITAL COST,Department for Transport — IT EQUIPMENT CAPITAL COST,false,8,1474488.51
486,4ee3aed59afa5ec96785cca2365f615398b8b1982d23b2d9fd0591c7de94b3dc,Department for Transport,Subsistence UK,Department for Transport — Subsistence UK,false,8,605212.05
601,603796ea764e1299a718a8daf5a0e7d1a4ce1dae735580f8537c123893cdca12,Department for Transport,Subscriptions,Department for Transport — Subscriptions,false,1,27125
726,7368671020cac231af75824e80668e2618d621ff789b4a0cb9bf87cb6cfbe67e,HM Revenue and Customs,Facility rental,HM Revenue and Customs — Facility rental,false,35,4120986.36
730,73b7b0c911be0ddad33b1c29c3a89b6f97660f3ef6611da33f8f9507e7a7dc23,Manchester City Council,Perm Nurse Home Care,Manchester City Council — Perm Nurse Home Care,false,331,-1300795.52
766,7891fb89d3928c735052620e9cceeef278814955f0fea7780f7dcc3664b046db,Bristol City Council,Client Transport,Bristol City Council — Client Transport,false,190,635095.45
825,816d5810ba650db49d6c68c0df88dbbe13269d85e6cf4f0b6788a2ce835be302,Manchester City Council,Professional Fees,Manchester City Council — Professional Fees,false,810,7144464.71
1080,ab5691a2740286003733d41f4ac91266c851d21c2de496e1f70f8f7ff414c886,Department for Transport,BANK CHARGES,Department for Transport — BANK CHARGES,false,15,2328677.15
1144,b59e88673a95d6c46067252fcf3d7f4e3c2f311c96666694dd2009b39019e590,Ministry of Justice,EXP - PERMANENT UK STAFF - BASIC SALARY - STAFF RECHARGE - RECOVERY,Ministry of Justice — EXP - PERMANENT UK STAFF - BASIC SALARY - STAFF RECHARGE - RECOVERY,false,1,44484.2
1247,c55dabc56e85856d48101c724d4e8b2f1ec7f40c8f657a3658f098eae46b8fcf,Department for Transport,Commercial Partner: Non staffing,Department for Transport — Commercial Partner: Non staffing,false,9,600242.83
1252,c5efdf01c0734c077e089f15ee846b15022003c547d1f709893e3d3500dc047b,HM Revenue and Customs,Professional Services - Property Services,HM Revenue and Customs — Professional Services - Property Services,false,1,35958
1286,cacb32d9b0e229c2cd6e8791874e21e7ce978db4e31a5f893203e4973c314895,Department for Transport,Business Services,Department for Transport — Business Services,false,154,79079249.26
1491,ea7f42c0f8fd52bf9d2c37de2ed22977bff56203a4bee9ebe3a97c6ffd38f1c1,Department for Transport,Postage,Department for Transport — Postage,false,8,308901.46
1499,ec151b197f2aefc38f3adf2551c3609f53634742a9956aafe756f5fe8ddae800,Department for Transport,Direct Weather Services,Department for Transport — Direct Weather Services,false,4,855863.4
1517,ef70050fdd5c97ddae799657f90b4878ab72fb54dfa20a848d2b1aa41d273988,Bristol City Council,Marketing \ Non-staff advertising,Bristol City Council — Marketing \ Non-staff advertising,false,261,340161.3
42,083076f347fc0def9f21daddb25bda94f07193f20d3b25d56325b0a5a0794d3c,Ministry of Justice,EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,Ministry of Justice — EXP - CURRENT GRANTS TO PRIVATE SECTOR - NON PROFIT INSTITUTIONS SERVING H'HOLD,false,172,34485675.11
74,0d3ea5d87502a414f883361e0990965f650df859ac5d088e88c848a22fdc4a83,City of York Council,Residential Care,City of York Council — Residential Care,false,12050,68729833.21
76,0d9333b94050596368fceddb119ac5ecef07eed6de97111406e9d878b2164d39,Department for Transport,New Assets for Capitalisation,Department for Transport — New Assets for Capitalisation,false,12,1335967.16
94,0f94088eb2415d77b54bb3927ce40157dbc39b9c54ea74fb29c09f46d618330d,Department for Transport,Auc - Plant & Machinery,Department for Transport — Auc - Plant & Machinery,false,6,379556.16
126,15312d4a33a2589a500efa69463df606791a8f485573e0c2840270310e949048,Ministry of Justice,Exp - Purchase Of Goods/Services - Consultancy,Ministry of Justice — Exp - Purchase Of Goods/Services - Consultancy,false,102,29811963.48
237,2767bb561817a285766be9f8494ad4c997cb990e5bdb1888c35841fa8e57d243,Ministry of Justice,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - FM - Hard Variable Costs - £750 to £5k,Ministry of Justice — EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - FM - Hard Variable Costs - £750 to £5k,false,1,96316.85
295,30429c57e76f661df96efb331708faa3d7d6b60de51feece26f8ce10d6e74609,Department for Transport,Secondments,Department for Transport — Secondments,false,31,1591738.34
300,30706c5c65d8071f4f8d9ec839419d6c8325294ea6b355b85554974c6e41db14,Manchester City Council,AGMA Contributions,Manchester City Council — AGMA Contributions,false,2,1912414
313,3250426dc347f2396b282568a3277afc39359835bad6c2e4f148f3b2c7780bee,Department for Transport,Technical Partner: staffing assistance,Department for Transport — Technical Partner: staffing assistance,false,33,9367447.35
427,442a5eac0167c397c9fba25bbfefa61c4595a45219bc44c24dabc8017d7aee9a,Department for Transport,P&M CAPITAL COST,Department for Transport — P&M CAPITAL COST,false,2,259284
549,585d58226f220c80c0c1e9f75ded803f2e5b61e5213f18ae697020cb6c4034fb,Department for Transport,STATIONERY (NON-STOCK),Department for Transport — STATIONERY (NON-STOCK),false,2,52692.38
614,630f33ff86e59367f1a827e0fafd0a2b2617555f348fa1a5411301cfe7131102,HM Revenue and Customs,Mail/pickup/del serv,HM Revenue and Customs — Mail/pickup/del serv,false,14,669809.41
647,68ab7c2906b438119e7ce6e62898dec30765040e1ac23f5dbacd615004432a90,HM Revenue and Customs,Consultancy - P&C,HM Revenue and Customs — Consultancy - P&C,false,16,679267.34
