source_file_id,source_file,entity,transaction_rows
1,Bristol_City_Council__2024-03.csv,Bristol City Council,7167
2,Bristol_City_Council__2024-04.csv,Bristol City Council,6726
3,Bristol_City_Council__2024-05.csv,Bristol City Council,6573
4,Bristol_City_Council__2024-06.csv,Bristol City Council,5380
5,Bristol_City_Council__2024-07.csv,Bristol City Council,5944
6,Bristol_City_Council__2024-08.csv,Bristol City Council,6076
7,Bristol_City_Council__2024-09.csv,Bristol City Council,4983
8,Bristol_City_Council__2024-10.csv,Bristol City Council,5867
9,Bristol_City_Council__2024-11.csv,Bristol City Council,5897
10,Bristol_City_Council__2024-12.csv,Bristol City Council,5411
11,Bristol_City_Council__2025-01.csv,Bristol City Council,5724
12,Bristol_City_Council__2025-02.csv,Bristol City Council,5616
13,City_of_York_Council__2024-03.csv,City of York Council,61708
14,City_of_York_Council__2024-04.csv,City of York Council,63095
15,Department_for_Transport__2024-03.csv,Department for Transport,3515
16,Department_for_Transport__2024-04.csv,Department for Transport,3045
17,Department_for_Transport__2024-05.csv,Department for Transport,2446
18,Department_for_Transport__2024-06.csv,Department for Transport,2599
19,Department_for_Transport__2024-07.csv,Department for Transport,2838
20,Department_for_Transport__2024-08.csv,Department for Transport,2492
21,Department_for_Transport__2024-09.csv,Department for Transport,2440
22,Department_for_Transport__2024-10.csv,Department for Transport,2793
23,Department_for_Transport__2024-11.csv,Department for Transport,2561
24,Department_for_Transport__2024-12.csv,Department for Transport,2644
25,Department_for_Transport__2025-01.csv,Department for Transport,2556
26,Department_for_Transport__2025-02.csv,Department for Transport,2586
27,HM_Revenue_and_Customs__2024-03.csv,HM Revenue and Customs,1072
28,HM_Revenue_and_Customs__2024-04.csv,HM Revenue and Customs,987
29,HM_Revenue_and_Customs__2024-05.csv,HM Revenue and Customs,875
30,HM_Revenue_and_Customs__2024-06.csv,HM Revenue and Customs,900
31,HM_Revenue_and_Customs__2024-07.csv,HM Revenue and Customs,992
32,HM_Revenue_and_Customs__2024-08.csv,HM Revenue and Customs,891
33,HM_Revenue_and_Customs__2024-09.csv,HM Revenue and Customs,889
34,HM_Revenue_and_Customs__2024-10.csv,HM Revenue and Customs,976
35,HM_Revenue_and_Customs__2024-11.csv,HM Revenue and Customs,955
36,HM_Revenue_and_Customs__2024-12.csv,HM Revenue and Customs,1101
37,HM_Revenue_and_Customs__2025-01.csv,HM Revenue and Customs,918
38,HM_Revenue_and_Customs__2025-02.csv,HM Revenue and Customs,1002
39,Manchester_City_Council__2024-03.csv,Manchester City Council,5355
40,Manchester_City_Council__2024-04.csv,Manchester City Council,10437
41,Manchester_City_Council__2024-05.csv,Manchester City Council,7550
42,Manchester_City_Council__2024-06.csv,Manchester City Council,10047
43,Manchester_City_Council__2024-07.csv,Manchester City Council,10446
44,Manchester_City_Council__2024-08.csv,Manchester City Council,6286
45,Manchester_City_Council__2024-09.csv,Manchester City Council,9275
46,Manchester_City_Council__2024-10.csv,Manchester City Council,11748
47,Manchester_City_Council__2024-11.csv,Manchester City Council,10698
48,Manchester_City_Council__2024-12.csv,Manchester City Council,9879
49,Manchester_City_Council__2025-01.csv,Manchester City Council,8298
50,Manchester_City_Council__2025-02.csv,Manchester City Council,7201
51,Ministry_of_Justice__2024-03.csv,Ministry of Justice,516
52,Ministry_of_Justice__2024-04.csv,Ministry of Justice,502
53,Ministry_of_Justice__2024-05.csv,Ministry of Justice,409
54,Ministry_of_Justice__2024-06.csv,Ministry of Justice,428
55,Ministry_of_Justice__2024-07.csv,Ministry of Justice,376
56,Ministry_of_Justice__2024-08.csv,Ministry of Justice,393
57,Ministry_of_Justice__2024-09.csv,Ministry of Justice,438
58,Ministry_of_Justice__2024-10.csv,Ministry of Justice,381
59,Ministry_of_Justice__2024-11.csv,Ministry of Justice,440
60,Ministry_of_Justice__2024-12.csv,Ministry of Justice,496
61,Ministry_of_Justice__2025-01.csv,Ministry of Justice,344
62,Ministry_of_Justice__2025-02.csv,Ministry of Justice,345
