supplier_id,supplier_key,supplier_name,company_number,legal_name,company_status,incorporation_date,name_variant_count,is_resolved,unresolved_reason,match_tier,match_confidence,resolution_state,is_individual_withheld
1,0000ee6e91341e19ee0a87bd6176dae92aed159f05b540a01e1d384a33aa2083,COMMERCIAL PROPERTY INCOME FUND II,LP013876,COMMERCIAL PROPERTY INCOME FUND II,Active,2010-04-20,1,true,,2,high,Resolved to Companies House,false
2,0004cb9d9bac4f55fa5c16442354a2471d9b0f2bf8c5cf25b7bda9e1ed281854,Jo Bryenton Makaton Tutor,,,,,1,false,no_match,5,none,Unresolved,false
3,0005df2260802bfe083e3beaf9af1f47576e2accfc4567161658db280f970a6d,BECHTLE LIMITED,03283032,BECHTLE LIMITED,Active,1996-11-25,1,true,,1,high,Resolved to Companies House,false
4,00065351e2cf699817b65299495e3dc2fb82b90fc630b111592ff945553348c2,Community Transport Association,,,,,1,false,below_threshold,5,none,Unresolved,false
5,00080f0bd2142e221e014d7ea8e50e142e44b122787d2ca43826281596162083,Your Cafe,,,,,1,false,review,4,review,Awaiting review,false
6,00081144394c08094437e85f4c9421cdc677db9219a83bb32b9903ade6ec3694,JCT CONSULTANCY LIMITED,03607332,JCT CONSULTANCY LIMITED,Active,1998-07-30,2,true,,2,high,Resolved to Companies House,false
7,000b957d5f2cefe9412e93e8cb828a248ecf34b3195e363cf1fb2b75ec9659d5,City Of Wakefield MDC,,,,,2,false,below_threshold,5,none,Unresolved,false
8,000d8bc2ad28fa80b93878c2a4ff8cdb59278579157e43b23ba30c63b67e9f2b,CARE 4 EVERY CHILD LIMITED,11769512,CARE 4 EVERY CHILD LIMITED,Active,2019-01-16,1,true,,2,high,Resolved to Companies House,false
9,000ea551e4036f0c1d0f192c7c771bc36fc0a8d06d80166240121b9ad974ea5e,URBAN 360 LTD,13429241,URBAN 360 LTD,Active,2021-05-31,1,true,,2,high,Resolved to Companies House,false
10,0014d9f34451a2b0ad3b6251ca30181239f5c77309630041d2f133a45418f721,LOST ART LIMITED,03831932,LOST ART LIMITED,Active,1999-08-26,1,true,,2,high,Resolved to Companies House,false
11,00153ddad2ec3e9fb68073ccaf52aae4c643c00f4899802b0c8a16619a468403,CENGAGE LEARNING (EMEA) LIMITED,00903535,CENGAGE LEARNING (EMEA) LIMITED,Active,1967-04-13,1,true,,2,high,Resolved to Companies House,false
12,001c6a21f2a630640c0dbf3ba9c974093de016f270be76b38f0a8165bf59815b,KALLIDUS LIMITED,03984404,KALLIDUS LIMITED,Active,2000-04-26,2,true,,1,high,Resolved to Companies House,false
13,001e1e06e991212fffd11ff7ce35435b98672b0e27faf83e9c0d62f69d39f5f1,RACHEL HACKING ECOLOGY LIMITED,06753682,RACHEL HACKING ECOLOGY LIMITED,Active,2008-11-19,1,true,,2,high,Resolved to Companies House,false
14,00228ffe07795bf07a4a6d2b54ac4758bc7882e6ffc1055e09f9dfa1ed815b5b,SARGEANTS BROTHERS LIMITED,02470523,SARGEANTS BROTHERS LIMITED,Active,1990-02-15,1,true,,2,high,Resolved to Companies House,false
15,00235f8bd9c21bf1bc1136d94ac979c027e7fcb7ce1bdfdcb7b51a14ac7ba1bb,PLANNING JUNGLE LIMITED,07854370,PLANNING JUNGLE LIMITED,Active,2011-11-21,1,true,,2,high,Resolved to Companies House,false
16,0025a87b5bf12febbd2d890815d963891f1c622bd77f1aebd68697d5d06fe1fb,PEEL PORTS GREAT YARMOUTH,,,,,1,false,below_threshold,5,none,Unresolved,false
17,0026c28dd5a645d8ade87bd9c387b1e0c828691ca64701157d986dfc7ad70762,COMPLETE BACKGROUND SCREENING LTD,05435348,COMPLETE BACKGROUND SCREENING LTD,Active,2005-04-26,1,true,,2,high,Resolved to Companies House,false
18,002af3f072b61caa03a444e505f7e2baff78ef373fc19f57aaeaff720c442357,OUT1099/2230 Williams,,,,,1,false,no_match,5,none,Unresolved,false
19,0031d72246f8cf52778d608bb950e54dc716353d377ef0699b5d95fdbaf596da,Individual — name withheld,,,,,1,false,no_match,5,none,Unresolved,true
20,003615553db6675af2933527ba65bf08ce3a22d832d65efca2873838f0dc9390,THE JOY APPROACH LIMITED,05602171,THE JOY APPROACH LIMITED,Active,2005-10-25,1,true,,2,high,Resolved to Companies House,false
21,003ef7f429f8cc179dbc40c2d8846f1bfaf749a31d78ce607ed7836883597171,Azzurri Restaurants Ltd,,,,,1,false,below_threshold,5,none,Unresolved,false
22,004bbe83e0f5c4061546797129cb38ee49872b02ff1217ce9736b915198632d9,TOYOTA(G.B.) PLC,00916634,TOYOTA(G.B.) PLC,Active,1967-09-28,1,true,,2,high,Resolved to Companies House,false
23,0051320ac7ce9e7ab2f7325b018ed70f35a9503342ccb63a52ab25a541b5685e,FORGE RECYCLING (UK) LIMITED,07383076,FORGE RECYCLING (UK) LIMITED,Active,2010-09-21,1,true,,2,high,Resolved to Companies House,false
24,00648ef8cb9f7e19f26ad1058c67ec5771859d58ed666e6fc73e2a665d4bca14,Medicare Foundatn UK C.I.C,,,,,1,false,below_threshold,5,none,Unresolved,false
25,006cfa36f01ac09d0a100d44f03c97822a83da16ddbfd8cd5ef37cd442e2e421,QINETIQ LIMITED,03796233,QINETIQ LIMITED,Active,1999-06-25,3,true,,1,high,Resolved to Companies House,false
26,00775e0ffb97c9ab47cf6afdc8b0ee619bd547ce5bbac84fb4f6ccef58408dd7,RHODAR INDUSTRIAL SERVICES LIMITED,06426331,RHODAR INDUSTRIAL SERVICES LIMITED,Active,2007-11-13,2,true,,1,high,Resolved to Companies House,false
