spend_ref,supplier_id,entity_id,date_key,category_id,source_file_id,vat_basis_id,amount,is_grant_in_aid,transaction_number,unresolved_reason
000083cbd417abbf,4480,2,2024-11-11,1426,14,2,1060.74,false,202425CRCR00038050,below_threshold
0000b43edc513e5e,2356,3,2024-11-13,896,23,1,27372.23,false,992949,no_match
0000e04ba2a23541,362,2,2024-03-04,1154,13,2,345.84,false,202324CR00058025,below_threshold
00013303c5c56771,1668,2,2023-04-11,30,13,2,1853.18,false,202324CR00001354,below_threshold
0001582e1076350f,1561,5,2025-01-02,378,49,2,909.33,false,1908687033,no_match
0001bcababcabd0b,5322,3,2024-03-26,1631,15,1,1200000,false,2000035538,below_threshold
0002876100d608b3,10722,1,2024-08-13,35,6,1,14047.93,false,93322157,below_threshold
0002a08d2e79b893,6969,2,2023-12-29,967,13,2,3901.89,false,202324CR00042772,review
000408dfd3021e8a,8754,5,2024-03-04,21,39,2,718.62,false,1908385691,below_threshold
000423f330f7c5b3,8704,1,2024-06-25,1360,4,1,57650.84,false,93289787,ambiguous
0004aaef784d00c2,6615,5,2024-08-22,242,44,2,20944.97,false,1908557255,review
0004fb6b34410435,3703,2,2024-09-23,1154,14,2,275.1,false,202425CRCR00028965,review
00051ed577af710c,12012,5,2024-11-27,1423,47,2,678,false,1908646169,redacted
0005353a89a874f3,12012,5,2025-01-27,1242,49,2,696.6,false,1908710005,redacted
000536b293505af8,5523,5,2024-11-12,1242,47,2,6618.1,false,1908630917,below_threshold
00056515544e87a5,10047,1,2024-05-07,1360,3,1,2044.37,false,93252946,review
00056fe1048eeaf7,1561,5,2024-05-09,378,41,2,2641.1,false,1908453093,no_match
0005ae6755069a14,6608,2,2024-01-10,596,13,2,8705,false,202324CR00047197,below_threshold
0005f3cd24f70ed5,326,2,2024-05-09,10,14,2,773.97,false,202425CR00006755,review
000628df1ff5b5be,8553,1,2025-02-05,168,12,1,9769.24,false,93422775,below_threshold
0006d6fd80b23f37,8329,5,2024-10-23,1420,46,2,5715,false,1908613977,review
0008117897494a4f,12012,5,2024-05-29,1508,41,2,666.9,false,1908471281,redacted
00085bb4f50ba803,9664,2,2024-03-18,1378,13,2,11285.37,false,202324CR00060264,no_match
000864656394425d,6131,5,2024-10-17,1335,46,2,616.55,false,1908609493,review
0008697b3098fcd6,1991,2,2024-02-27,1177,13,2,431.72,false,202324CR00056781,no_match
0008b1bb0d0a6e0d,12012,5,2024-04-17,1508,40,2,937,false,1908433974,redacted
0008d74fe6c6f30b,6080,2,2023-05-09,1154,13,2,341.9,false,202324CR00006143,review
00096096e6da49d7,12012,5,2024-07-25,1242,43,2,2413.12,false,1908534721,redacted
000a415da0db8bad,2506,2,2024-05-20,1154,14,2,4265.65,false,202425CR00008055,review
000a81d3109fcbe5,12012,5,2024-11-13,1508,47,2,772.72,false,1908633573,redacted
000a88249961a220,4639,1,2024-10-25,210,8,1,450,false,31175149,redacted
000ab16f251c3cba,9683,1,2024-11-01,1175,9,1,4611,false,31176991,review
000b05d70cbf8816,781,2,2023-10-02,1154,13,2,1073.5,false,202324CR00030376,review
000b57107b8e8d17,7655,4,2025-01-24,839,37,1,84750,false,5100063740,below_threshold
000c86b3d9f47526,1561,5,2024-11-11,1335,47,2,2295.72,false,1908629453,no_match
000cfa9886badae2,9920,6,2024-03-25,1369,51,1,46956,false,5502764400,below_threshold
000d0a7e3fee1ee0,5287,2,2024-03-07,1173,13,2,13.45,false,202324CR00058633,below_threshold
000d1d97a9bda513,5384,1,2024-03-28,1360,1,1,141947,false,31128400,below_threshold
000d6d6b31e2b7ab,4355,1,2024-12-31,798,10,1,3392.23,false,31187847,review
000dd173889441d4,1668,2,2023-06-06,30,13,2,380.99,false,202324CR00010734,below_threshold
000e1119e8f94bb9,12012,5,2025-02-05,192,50,2,1609.68,false,1908722387,redacted
000e61f815804e91,10011,5,2024-06-28,242,42,2,21257.01,false,1908509245,below_threshold
000ebc53ca715ba6,3975,5,2024-11-12,1242,47,2,799.99,false,1908631375,below_threshold
000f3199afb0588b,8329,5,2024-12-02,793,48,2,1176.56,false,1908658216,review
000f436217b15dfa,12012,5,2025-02-19,1508,50,2,1273.5,false,1908736275,redacted
