supplier_name_raw,supplier_name_norm,candidate_company_number,candidate_company_name,match_score,candidate_count,total_spend,decision,queue_reason
GREAT WESTERN RAILWAY,GREAT WESTERN RAILWAY,01759457,GREAT WESTERN RAILWAY LIMITED,1.0,1,1645099386.59,,tier 4 fuzzy
WEST MIDLANDS TRAINS,WEST MIDLANDS TRAINS,09860466,WEST MIDLANDS TRAINS LIMITED,1.0,1,870427482.8,,tier 4 fuzzy
CAPGEMINI,CAPGEMINI,00943935,CAPGEMINI UK PLC,,1,349037030.64,,tier 1 demoted: register name disagrees
NEXUS,NEXUS,OE007963,NEXUS LIMITED,1.0,1,106362560.99,,tier 4 fuzzy
CABINET OFFICE,CABINET OFFICE,05756325,THE CABINET OFFICE LTD,1.0,1,82040838.59,,tier 4 fuzzy
EVIDEN TECHNOLOGY SERVICES LIMITED,EVIDEN TECHNOLOGY SERVICES LTD,FC040271,EVIDEN TECHNOLOGY SERVICES LIMITED,1.0,2,56588031.83,,tier 4 fuzzy
LendLease Construction(EUROPE) Ltd,LENDLEASE CONSTRUCTION EUROPE LTD,00467006,BOVIS CONSTRUCTION (EUROPE) LIMITED,,1,49565932.31,,tier 1 demoted: register name disagrees
MERSEYTRAVEL,MERSEYTRAVEL,02027686,MERSEYTRAVEL LIMITED,1.0,1,45323203.07,,tier 4 fuzzy
NEWCASTLE ESTATE PARTNERSHIP,NEWCASTLE ESTATE PARTNERSHIP,03124864,THE NEWCASTLE ESTATE PARTNERSHIP LIMITED,1.0,1,42531455.37,,tier 4 fuzzy
TELEREAL TRILLIUM,TELEREAL TRILLIUM,09335291,TELEREAL TRILLIUM LIMITED,1.0,1,23574968.61,,tier 4 fuzzy
LAND SECURITIES PROPERTIES LTD,LAND SECURITIES PROPERTIES LTD,00961477,LAND SECURITIES PROPERTIES LIMITED,1.0,2,19968977,,tier 4 fuzzy
FIRST WEST OF ENGLAND,FIRST WEST OF ENGLAND,00025088,FIRST WEST OF ENGLAND LIMITED,1.0,1,18728940.74,,tier 4 fuzzy
XEROX U K LTD,XEROX U K LTD,00330754,XEROX (UK) LIMITED,,1,18657155.04,,tier 1 demoted: register name disagrees
GO NORTH EAST,GO NORTH EAST,02057284,GO NORTH EAST LIMITED,1.0,1,16197710.54,,tier 4 fuzzy
Chevron Traffic Management,CHEVRON TRAFFIC MANAGEMENT,03316774,CHEVRON TRAFFIC MANAGEMENT LIMITED,1.0,1,15469635.9,,tier 4 fuzzy
